年,月,二酸化炭素濃度の月平均値(綾里)[ppm],
1987, 1,353.3,
1987, 2,354.1,
1987, 3,354.9,
1987, 4,356.6,
1987, 5,354.8,
1987, 6,349.7,
1987, 7,346.0,
1987, 8,345.7,
1987, 9,344.9,
1987,10,350.1,
1987,11,352.9,
1987,12,354.7,
1988, 1,356.1,
1988, 2,357.0,
1988, 3,357.7,
1988, 4,358.7,
1988, 5,358.1,
1988, 6,351.8,
1988, 7,347.3,
1988, 8,348.7,
1988, 9,348.6,
1988,10,354.3,
1988,11,356.7,
1988,12,357.3,
1989, 1,358.4,
1989, 2,359.6,
1989, 3,359.6,
1989, 4,360.6,
1989, 5,360.4,
1989, 6,354.5,
1989, 7,350.5,
1989, 8,348.2,
1989, 9,351.5,
1989,10,355.0,
1989,11,357.8,
1989,12,358.6,
1990, 1,360.1,
1990, 2,360.8,
1990, 3,362.0,
1990, 4,361.8,
1990, 5,360.1,
1990, 6,354.3,
1990, 7,350.7,
1990, 8,350.6,
1990, 9,351.9,
1990,10,355.1,
1990,11,358.3,
1990,12,359.0,
1991, 1,361.2,
1991, 2,362.2,
1991, 3,363.5,
1991, 4,363.7,
1991, 5,362.4,
1991, 6,356.4,
1991, 7,352.4,
1991, 8,351.3,
1991, 9,351.5,
1991,10,356.6,
1991,11,359.1,
1991,12,361.3,
1992, 1,362.0,
1992, 2,363.3,
1992, 3,363.5,
1992, 4,364.8,
1992, 5,364.3,
1992, 6,355.9,
1992, 7,348.8,
1992, 8,351.5,
1992, 9,351.9,
1992,10,357.3,
1992,11,359.7,
1992,12,361.9,
1993, 1,362.0,
1993, 2,363.3,
1993, 3,364.2,
1993, 4,365.1,
1993, 5,364.1,
1993, 6,359.0,
1993, 7,352.7,
1993, 8,351.6,
1993, 9,352.4,
1993,10,358.4,
1993,11,360.1,
1993,12,362.3,
1994, 1,364.2,
1994, 2,364.1,
1994, 3,365.5,
1994, 4,367.5,
1994, 5,365.9,
1994, 6,358.9,
1994, 7,356.7,
1994, 8,356.6,
1994, 9,355.9,
1994,10,359.9,
1994,11,363.9,
1994,12,365.0,
1995, 1,366.2,
1995, 2,366.3,
1995, 3,366.8,
1995, 4,367.7,
1995, 5,366.8,
1995, 6,363.1,
1995, 7,361.8,
1995, 8,354.8,
1995, 9,357.7,
1995,10,363.6,
1995,11,365.7,
1995,12,366.8,
1996, 1,367.7,
1996, 2,369.0,
1996, 3,369.6,
1996, 4,369.7,
1996, 5,369.6,
1996, 6,364.8,
1996, 7,361.2,
1996, 8,356.6,
1996, 9,357.8,
1996,10,363.9,
1996,11,366.6,
1996,12,368.2,
1997, 1,368.4,
1997, 2,369.9,
1997, 3,370.9,
1997, 4,371.5,
1997, 5,369.8,
1997, 6,365.6,
1997, 7,363.6,
1997, 8,355.8,
1997, 9,360.1,
1997,10,366.9,
1997,11,368.0,
1997,12,369.2,
1998, 1,370.5,
1998, 2,371.4,
1998, 3,372.5,
1998, 4,373.7,
1998, 5,371.8,
1998, 6,369.0,
1998, 7,364.9,
1998, 8,362.7,
1998, 9,364.0,
1998,10,369.5,
1998,11,372.4,
1998,12,373.2,
1999, 1,374.4,
1999, 2,375.1,
1999, 3,375.4,
1999, 4,375.6,
1999, 5,375.6,
1999, 6,367.3,
1999, 7,368.4,
1999, 8,365.2,
1999, 9,364.0,
1999,10,369.8,
1999,11,373.0,
1999,12,373.9,
2000, 1,374.0,
2000, 2,375.9,
2000, 3,377.0,
2000, 4,378.1,
2000, 5,375.5,
2000, 6,369.6,
2000, 7,369.9,
2000, 8,365.0,
2000, 9,367.4,
2000,10,371.6,
2000,11,374.5,
2000,12,376.3,
2001, 1,376.6,
2001, 2,378.1,
2001, 3,379.1,
2001, 4,379.1,
2001, 5,377.2,
2001, 6,370.6,
2001, 7,366.7,
2001, 8,363.8,
2001, 9,367.8,
2001,10,372.4,
2001,11,375.8,
2001,12,376.8,
2002, 1,378.4,
2002, 2,380.4,
2002, 3,380.6,
2002, 4,380.9,
2002, 5,378.3,
2002, 6,371.7,
2002, 7,371.9,
2002, 8,368.9,
2002, 9,369.4,
2002,10,376.2,
2002,11,377.9,
2002,12,379.1,
2003, 1,380.6,
2003, 2,381.8,
2003, 3,382.7,
2003, 4,384.6,
2003, 5,383.2,
2003, 6,377.7,
2003, 7,372.3,
2003, 8,370.3,
2003, 9,373.0,
2003,10,378.5,
2003,11,380.5,
2003,12,382.6,
2004, 1,383.1,
2004, 2,385.2,
2004, 3,385.5,
2004, 4,385.9,
2004, 5,385.6,
2004, 6,378.8,
2004, 7,374.8,
2004, 8,370.4,
2004, 9,374.1,
2004,10,378.5,
2004,11,382.4,
2004,12,383.7,
2005, 1,385.1,
2005, 2,385.3,
2005, 3,387.2,
2005, 4,388.3,
2005, 5,386.7,
2005, 6,381.7,
2005, 7,374.9,
2005, 8,375.5,
2005, 9,377.3,
2005,10,380.9,
2005,11,384.8,
2005,12,386.1,
2006, 1,387.7,
2006, 2,388.6,
2006, 3,389.5,
2006, 4,390.4,
2006, 5,390.4,
2006, 6,384.9,
2006, 7,377.8,
2006, 8,378.9,
2006, 9,379.1,
2006,10,384.2,
2006,11,387.3,
2006,12,388.6,
2007, 1,389.1,
2007, 2,390.7,
2007, 3,391.6,
2007, 4,391.5,
2007, 5,390.4,
2007, 6,385.7,
2007, 7,378.3,
2007, 8,379.1,
2007, 9,381.9,
2007,10,384.9,
2007,11,389.0,
2007,12,390.2,
2008, 1,391.1,
2008, 2,392.5,
2008, 3,394.2,
2008, 4,394.7,
2008, 5,392.1,
2008, 6,388.3,
2008, 7,381.3,
2008, 8,377.8,
2008, 9,382.5,
2008,10,387.6,
2008,11,390.3,
2008,12,392.4,
2009, 1,392.8,
2009, 2,394.0,
2009, 3,394.4,
2009, 4,395.8,
2009, 5,393.4,
2009, 6,388.4,
2009, 7,385.1,
2009, 8,380.0,
2009, 9,382.4,
2009,10,389.2,
2009,11,391.6,
2009,12,393.5,
2010, 1,394.4,
2010, 2,395.9,
2010, 3,396.9,
2010, 4,397.1,
2010, 5,397.9,
2010, 6,391.0,
2010, 7,392.7,
2010, 8,387.0,
2010, 9,387.8,
2010,10,392.3,
2010,11,395.3,
2010,12,397.1,
2011, 1,397.3,
2011, 2,399.5,
2011, 3,399.6,
2011, 4,--,
2011, 5,398.6,
2011, 6,394.0,
2011, 7,388.3,
2011, 8,385.7,
2011, 9,389.0,
2011,10,393.4,
2011,11,397.1,
2011,12,398.3,
2012, 1,399.3,
2012, 2,400.2,
2012, 3,401.5,
2012, 4,402.4,
2012, 5,400.5,
2012, 6,394.5,
2012, 7,392.8,
2012, 8,389.9,
2012, 9,391.3,
2012,10,396.5,
2012,11,399.6,
2012,12,401.1,
2013, 1,401.7,
2013, 2,403.9,
2013, 3,404.3,
2013, 4,405.1,
2013, 5,403.1,
2013, 6,397.9,
2013, 7,391.7,
2013, 8,392.7,
2013, 9,392.9,
2013,10,398.3,
2013,11,402.9,
2013,12,403.1,
2014, 1,405.5,
2014, 2,405.8,
2014, 3,406.5,
2014, 4,407.3,
2014, 5,405.6,
2014, 6,400.0,
2014, 7,392.9,
2014, 8,391.4,
2014, 9,393.3,
2014,10,400.7,
2014,11,403.1,
2014,12,405.9,
2015, 1,406.5,
2015, 2,406.8,
2015, 3,408.9,
2015, 4,409.1,
2015, 5,407.3,
2015, 6,401.5,
2015, 7,396.5,
2015, 8,394.3,
2015, 9,395.9,
2015,10,403.2,
2015,11,405.2,
2015,12,408.0,
2016, 1,409.7,
2016, 2,410.8,
2016, 3,412.1,
2016, 4,412.3,
2016, 5,410.1,
2016, 6,404.2,
2016, 7,399.6,
2016, 8,400.7,
2016, 9,401.3,
2016,10,407.3,
2016,11,409.7,
2016,12,412.2,
2017, 1,413.1,
2017, 2,413.1,
2017, 3,414.6,
2017, 4,415.8,
2017, 5,414.4,
2017, 6,407.1,
2017, 7,400.8,
2017, 8,398.9,
2017, 9,401.4,
2017,10,408.7,
2017,11,412.7,
2017,12,414.1,
2018, 1,415.2,
2018, 2,416.1,
2018, 3,417.1,
2018, 4,417.7,
2018, 5,416.1,
2018, 6,410.4,
2018, 7,406.3,
2018, 8,401.7,
2018, 9,404.9,
2018,10,411.8,
2018,11,414.4,
2018,12,415.5,
2019, 1,416.7,
2019, 2,418.2,
2019, 3,419.7,
2019, 4,419.2,
2019, 5,417.8,
2019, 6,410.8,
2019, 7,406.4,
2019, 8,406.4,
2019, 9,407.4,
2019,10,412.7,
2019,11,416.6,
2019,12,419.3,
2020, 1,419.0,
2020, 2,420.9,
2020, 3,420.8,
2020, 4,421.5,
2020, 5,420.0,
2020, 6,411.9,
2020, 7,407.7,
2020, 8,409.9,
2020, 9,409.8,
2020,10,415.7,
2020,11,420.0,
2020,12,421.4,
2021, 1,422.2,
2021, 2,424.4,
2021, 3,424.3,
2021, 4,424.6,
2021, 5,423.8,
2021, 6,416.9,
2021, 7,414.1,
2021, 8,410.5,
2021, 9,411.1,
2021,10,419.5,
2021,11,421.6,
2021,12,424.3,
2022, 1,424.9,
2022, 2,425.6,
2022, 3,427.8,
2022, 4,427.3,
2022, 5,425.1,
2022, 6,420.3,
2022, 7,418.8,
2022, 8,410.1,
2022, 9,413.9,
2022,10,419.6,
2022,11,424.3,
2022,12,424.8,
2023, 1,427.3,)
2023, 2,428.3,)
2023, 3,429.1,)
2023, 4,429.0,)
2023, 5,427.1,)
2023, 6,421.3,)
2023, 7,419.5,)
2023, 8,420.4,)
2023, 9,418.8,)
2023,10,423.4,)
2023,11,427.5,)
2023,12,428.2,)
2024, 1,429.3,)
2024, 2,430.3,)
2024, 3,431.1,)
2024, 4,432.5,)
2024, 5,429.3,)
2024, 6,425.3,)
2024, 7,423.4,)
2024, 8,421.6,)
2024, 9,422.5,)
2024,10,427.4,)
2024,11,430.4,)
2024,12,431.5,)

 --印は、機器の異常等による欠測を表しています。
 ) が付いたデータは速報値です。

 気象庁ホームページのコンテンツのご利用については以下のWebサイトをご覧ください。
 （https://www.jma.go.jp/jma/kishou/info/coment.html）

